end_id	source_id	sample_id	assay	evidence_class	author_endpoint_id	published_reference_accession	reference_assembly	reference_name	replicon_label	biological_coordinate_1based	bed_start_0based	bed_end_0based	strand	signal_or_score	author_category	associated_gene_or_locus	pmid	doi	source_table_or_file	coordinate_interpretation	original_row_reference	qc_status	note
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_4137_r000002	BATTER_S1_008	PRJEB31965_REPRODUCIBLE_SITE	Term-seq	author_called_endpoint	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_F_000001	NC_002516.2	GCF_000006765.1	NC_002516.2	NC_002516.2	4137	4136	4137	+	1.95373125162568	NA	NA	31594819	10.1128/mBio.02253-19	Table S1B	dominant Term-seq position treated as 1-based; BED start=position-1	data/paeruginosa/processed/BATTER_S1_008/reproducible_termseq_3prime_sites.tsv:row=2	migrated_coordinate_and_bed_checked	Author-reported reproducible Term-seq 3′ sites (Table S1B); the separate gene-associated table is documented but not duplicated here.
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_6749_r000003	BATTER_S1_008	PRJEB31965_REPRODUCIBLE_SITE	Term-seq	author_called_endpoint	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_F_000002	NC_002516.2	GCF_000006765.1	NC_002516.2	NC_002516.2	6749	6748	6749	+	18.6390852560367	NA	NA	31594819	10.1128/mBio.02253-19	Table S1B	dominant Term-seq position treated as 1-based; BED start=position-1	data/paeruginosa/processed/BATTER_S1_008/reproducible_termseq_3prime_sites.tsv:row=3	migrated_coordinate_and_bed_checked	Author-reported reproducible Term-seq 3′ sites (Table S1B); the separate gene-associated table is documented but not duplicated here.
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_6941_r000004	BATTER_S1_008	PRJEB31965_REPRODUCIBLE_SITE	Term-seq	author_called_endpoint	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_R_000003	NC_002516.2	GCF_000006765.1	NC_002516.2	NC_002516.2	6941	6940	6941	-	3.03927821900999	NA	NA	31594819	10.1128/mBio.02253-19	Table S1B	dominant Term-seq position treated as 1-based; BED start=position-1	data/paeruginosa/processed/BATTER_S1_008/reproducible_termseq_3prime_sites.tsv:row=4	migrated_coordinate_and_bed_checked	Author-reported reproducible Term-seq 3′ sites (Table S1B); the separate gene-associated table is documented but not duplicated here.
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_10378_r000005	BATTER_S1_008	PRJEB31965_REPRODUCIBLE_SITE	Term-seq	author_called_endpoint	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_R_000004	NC_002516.2	GCF_000006765.1	NC_002516.2	NC_002516.2	10378	10377	10378	-	4.68486697241255	NA	NA	31594819	10.1128/mBio.02253-19	Table S1B	dominant Term-seq position treated as 1-based; BED start=position-1	data/paeruginosa/processed/BATTER_S1_008/reproducible_termseq_3prime_sites.tsv:row=5	migrated_coordinate_and_bed_checked	Author-reported reproducible Term-seq 3′ sites (Table S1B); the separate gene-associated table is documented but not duplicated here.
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_21028_r000006	BATTER_S1_008	PRJEB31965_REPRODUCIBLE_SITE	Term-seq	author_called_endpoint	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_R_000005	NC_002516.2	GCF_000006765.1	NC_002516.2	NC_002516.2	21028	21027	21028	-	22.4752027913783	NA	NA	31594819	10.1128/mBio.02253-19	Table S1B	dominant Term-seq position treated as 1-based; BED start=position-1	data/paeruginosa/processed/BATTER_S1_008/reproducible_termseq_3prime_sites.tsv:row=6	migrated_coordinate_and_bed_checked	Author-reported reproducible Term-seq 3′ sites (Table S1B); the separate gene-associated table is documented but not duplicated here.
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_22769_r000007	BATTER_S1_008	PRJEB31965_REPRODUCIBLE_SITE	Term-seq	author_called_endpoint	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_F_000006	NC_002516.2	GCF_000006765.1	NC_002516.2	NC_002516.2	22769	22768	22769	+	6.69494766386074	NA	NA	31594819	10.1128/mBio.02253-19	Table S1B	dominant Term-seq position treated as 1-based; BED start=position-1	data/paeruginosa/processed/BATTER_S1_008/reproducible_termseq_3prime_sites.tsv:row=7	migrated_coordinate_and_bed_checked	Author-reported reproducible Term-seq 3′ sites (Table S1B); the separate gene-associated table is documented but not duplicated here.
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_37028_r000008	BATTER_S1_008	PRJEB31965_REPRODUCIBLE_SITE	Term-seq	author_called_endpoint	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_R_000007	NC_002516.2	GCF_000006765.1	NC_002516.2	NC_002516.2	37028	37027	37028	-	1.83757890803156	NA	NA	31594819	10.1128/mBio.02253-19	Table S1B	dominant Term-seq position treated as 1-based; BED start=position-1	data/paeruginosa/processed/BATTER_S1_008/reproducible_termseq_3prime_sites.tsv:row=8	migrated_coordinate_and_bed_checked	Author-reported reproducible Term-seq 3′ sites (Table S1B); the separate gene-associated table is documented but not duplicated here.
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_40876_r000009	BATTER_S1_008	PRJEB31965_REPRODUCIBLE_SITE	Term-seq	author_called_endpoint	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_F_000008	NC_002516.2	GCF_000006765.1	NC_002516.2	NC_002516.2	40876	40875	40876	+	177.135582277869	NA	NA	31594819	10.1128/mBio.02253-19	Table S1B	dominant Term-seq position treated as 1-based; BED start=position-1	data/paeruginosa/processed/BATTER_S1_008/reproducible_termseq_3prime_sites.tsv:row=9	migrated_coordinate_and_bed_checked	Author-reported reproducible Term-seq 3′ sites (Table S1B); the separate gene-associated table is documented but not duplicated here.
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_plus_41124_r000010	BATTER_S1_008	PRJEB31965_REPRODUCIBLE_SITE	Term-seq	author_called_endpoint	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_F_000009	NC_002516.2	GCF_000006765.1	NC_002516.2	NC_002516.2	41124	41123	41124	+	2.34566277998582	NA	NA	31594819	10.1128/mBio.02253-19	Table S1B	dominant Term-seq position treated as 1-based; BED start=position-1	data/paeruginosa/processed/BATTER_S1_008/reproducible_termseq_3prime_sites.tsv:row=10	migrated_coordinate_and_bed_checked	Author-reported reproducible Term-seq 3′ sites (Table S1B); the separate gene-associated table is documented but not duplicated here.
BTED_BATTER_S1_008_PRJEB31965_REPRODUCIBLE_SITE_NC_002516-2_minus_62810_r000011	BATTER_S1_008	PRJEB31965_REPRODUCIBLE_SITE	Term-seq	author_called_endpoint	BATTER_S1_008_THOMASON2019_REPRO_NC_002516_2_R_000010	NC_002516.2	GCF_000006765.1	NC_002516.2	NC_002516.2	62810	62809	62810	-	6.98511127992966	NA	NA	31594819	10.1128/mBio.02253-19	Table S1B	dominant Term-seq position treated as 1-based; BED start=position-1	data/paeruginosa/processed/BATTER_S1_008/reproducible_termseq_3prime_sites.tsv:row=11	migrated_coordinate_and_bed_checked	Author-reported reproducible Term-seq 3′ sites (Table S1B); the separate gene-associated table is documented but not duplicated here.
