end_id	source_record_id	source_end_id	source_id	species	sample_id	assay	evidence_class	published_reference_accession	reference_name	biological_coordinate_1based	bed_start_0based	bed_end_0based	strand	z_score	pmid	doi	source_table	coordinate_interpretation
BTED_BATTER_S1_011_LEE2020_TERMSEQ_PUBLISHED_TTS_NC_010572-1_plus_142800_r000002	BATTER_S1_011_LEE2020_TERMSEQ_NC_010572_1_F_000001	BATTER_S1_011_LEE2020_TERMSEQ_NC_010572_1_F_000001	BATTER_S1_011	Streptomyces griseus subsp. griseus NBRC 13350	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	NC_010572	NC_010572.1	142800	142799	142800	+	14.3959568689856	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_011_LEE2020_TERMSEQ_PUBLISHED_TTS_NC_010572-1_minus_146466_r000003	BATTER_S1_011_LEE2020_TERMSEQ_NC_010572_1_R_000002	BATTER_S1_011_LEE2020_TERMSEQ_NC_010572_1_R_000002	BATTER_S1_011	Streptomyces griseus subsp. griseus NBRC 13350	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	NC_010572	NC_010572.1	146466	146465	146466	-	26.1847543581151	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_011_LEE2020_TERMSEQ_PUBLISHED_TTS_NC_010572-1_minus_146558_r000004	BATTER_S1_011_LEE2020_TERMSEQ_NC_010572_1_R_000003	BATTER_S1_011_LEE2020_TERMSEQ_NC_010572_1_R_000003	BATTER_S1_011	Streptomyces griseus subsp. griseus NBRC 13350	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	NC_010572	NC_010572.1	146558	146557	146558	-	12.6063476850508	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_011_LEE2020_TERMSEQ_PUBLISHED_TTS_NC_010572-1_minus_162095_r000005	BATTER_S1_011_LEE2020_TERMSEQ_NC_010572_1_R_000004	BATTER_S1_011_LEE2020_TERMSEQ_NC_010572_1_R_000004	BATTER_S1_011	Streptomyces griseus subsp. griseus NBRC 13350	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	NC_010572	NC_010572.1	162095	162094	162095	-	13.4910674938872	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_011_LEE2020_TERMSEQ_PUBLISHED_TTS_NC_010572-1_minus_162595_r000006	BATTER_S1_011_LEE2020_TERMSEQ_NC_010572_1_R_000005	BATTER_S1_011_LEE2020_TERMSEQ_NC_010572_1_R_000005	BATTER_S1_011	Streptomyces griseus subsp. griseus NBRC 13350	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	NC_010572	NC_010572.1	162595	162594	162595	-	13.4254316035378	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_011_LEE2020_TERMSEQ_PUBLISHED_TTS_NC_010572-1_plus_165337_r000007	BATTER_S1_011_LEE2020_TERMSEQ_NC_010572_1_F_000006	BATTER_S1_011_LEE2020_TERMSEQ_NC_010572_1_F_000006	BATTER_S1_011	Streptomyces griseus subsp. griseus NBRC 13350	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	NC_010572	NC_010572.1	165337	165336	165337	+	20.4153107906211	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_011_LEE2020_TERMSEQ_PUBLISHED_TTS_NC_010572-1_minus_188266_r000008	BATTER_S1_011_LEE2020_TERMSEQ_NC_010572_1_R_000007	BATTER_S1_011_LEE2020_TERMSEQ_NC_010572_1_R_000007	BATTER_S1_011	Streptomyces griseus subsp. griseus NBRC 13350	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	NC_010572	NC_010572.1	188266	188265	188266	-	12.8383215084349	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_011_LEE2020_TERMSEQ_PUBLISHED_TTS_NC_010572-1_minus_188355_r000009	BATTER_S1_011_LEE2020_TERMSEQ_NC_010572_1_R_000008	BATTER_S1_011_LEE2020_TERMSEQ_NC_010572_1_R_000008	BATTER_S1_011	Streptomyces griseus subsp. griseus NBRC 13350	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	NC_010572	NC_010572.1	188355	188354	188355	-	98.1540494657842	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_011_LEE2020_TERMSEQ_PUBLISHED_TTS_NC_010572-1_plus_188475_r000010	BATTER_S1_011_LEE2020_TERMSEQ_NC_010572_1_F_000009	BATTER_S1_011_LEE2020_TERMSEQ_NC_010572_1_F_000009	BATTER_S1_011	Streptomyces griseus subsp. griseus NBRC 13350	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	NC_010572	NC_010572.1	188475	188474	188475	+	116.132026002679	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_011_LEE2020_TERMSEQ_PUBLISHED_TTS_NC_010572-1_plus_202517_r000011	BATTER_S1_011_LEE2020_TERMSEQ_NC_010572_1_F_000010	BATTER_S1_011_LEE2020_TERMSEQ_NC_010572_1_F_000010	BATTER_S1_011	Streptomyces griseus subsp. griseus NBRC 13350	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	NC_010572	NC_010572.1	202517	202516	202517	+	71.6156214424734	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
