end_id	source_record_id	source_end_id	source_id	species	sample_id	assay	evidence_class	published_reference_accession	reference_name	biological_coordinate_1based	bed_start_0based	bed_end_0based	strand	z_score	pmid	doi	source_table	coordinate_interpretation
BTED_BATTER_S1_012_LEE2020_TERMSEQ_PUBLISHED_TTS_NC_003888-3_minus_28545_r000002	BATTER_S1_012_LEE2020_TERMSEQ_NC_003888_3_R_000001	BATTER_S1_012_LEE2020_TERMSEQ_NC_003888_3_R_000001	BATTER_S1_012	Streptomyces coelicolor A3(2)	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	NC_003888	NC_003888.3	28545	28544	28545	-	12.7536496607552	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_012_LEE2020_TERMSEQ_PUBLISHED_TTS_NC_003888-3_minus_31088_r000003	BATTER_S1_012_LEE2020_TERMSEQ_NC_003888_3_R_000002	BATTER_S1_012_LEE2020_TERMSEQ_NC_003888_3_R_000002	BATTER_S1_012	Streptomyces coelicolor A3(2)	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	NC_003888	NC_003888.3	31088	31087	31088	-	20.9979487276062	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_012_LEE2020_TERMSEQ_PUBLISHED_TTS_NC_003888-3_minus_121552_r000004	BATTER_S1_012_LEE2020_TERMSEQ_NC_003888_3_R_000003	BATTER_S1_012_LEE2020_TERMSEQ_NC_003888_3_R_000003	BATTER_S1_012	Streptomyces coelicolor A3(2)	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	NC_003888	NC_003888.3	121552	121551	121552	-	24.333526556112	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_012_LEE2020_TERMSEQ_PUBLISHED_TTS_NC_003888-3_minus_236337_r000005	BATTER_S1_012_LEE2020_TERMSEQ_NC_003888_3_R_000004	BATTER_S1_012_LEE2020_TERMSEQ_NC_003888_3_R_000004	BATTER_S1_012	Streptomyces coelicolor A3(2)	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	NC_003888	NC_003888.3	236337	236336	236337	-	16.0076031676579	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_012_LEE2020_TERMSEQ_PUBLISHED_TTS_NC_003888-3_plus_236754_r000006	BATTER_S1_012_LEE2020_TERMSEQ_NC_003888_3_F_000005	BATTER_S1_012_LEE2020_TERMSEQ_NC_003888_3_F_000005	BATTER_S1_012	Streptomyces coelicolor A3(2)	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	NC_003888	NC_003888.3	236754	236753	236754	+	23.6517783161598	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_012_LEE2020_TERMSEQ_PUBLISHED_TTS_NC_003888-3_plus_238594_r000007	BATTER_S1_012_LEE2020_TERMSEQ_NC_003888_3_F_000006	BATTER_S1_012_LEE2020_TERMSEQ_NC_003888_3_F_000006	BATTER_S1_012	Streptomyces coelicolor A3(2)	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	NC_003888	NC_003888.3	238594	238593	238594	+	15.4397340161664	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_012_LEE2020_TERMSEQ_PUBLISHED_TTS_NC_003888-3_plus_256448_r000008	BATTER_S1_012_LEE2020_TERMSEQ_NC_003888_3_F_000007	BATTER_S1_012_LEE2020_TERMSEQ_NC_003888_3_F_000007	BATTER_S1_012	Streptomyces coelicolor A3(2)	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	NC_003888	NC_003888.3	256448	256447	256448	+	14.3093619006275	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_012_LEE2020_TERMSEQ_PUBLISHED_TTS_NC_003888-3_plus_256502_r000009	BATTER_S1_012_LEE2020_TERMSEQ_NC_003888_3_F_000008	BATTER_S1_012_LEE2020_TERMSEQ_NC_003888_3_F_000008	BATTER_S1_012	Streptomyces coelicolor A3(2)	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	NC_003888	NC_003888.3	256502	256501	256502	+	149.353208353663	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_012_LEE2020_TERMSEQ_PUBLISHED_TTS_NC_003888-3_plus_393745_r000010	BATTER_S1_012_LEE2020_TERMSEQ_NC_003888_3_F_000009	BATTER_S1_012_LEE2020_TERMSEQ_NC_003888_3_F_000009	BATTER_S1_012	Streptomyces coelicolor A3(2)	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	NC_003888	NC_003888.3	393745	393744	393745	+	58.9488609753561	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
BTED_BATTER_S1_012_LEE2020_TERMSEQ_PUBLISHED_TTS_NC_003888-3_plus_400183_r000011	BATTER_S1_012_LEE2020_TERMSEQ_NC_003888_3_F_000010	BATTER_S1_012_LEE2020_TERMSEQ_NC_003888_3_F_000010	BATTER_S1_012	Streptomyces coelicolor A3(2)	LEE2020_TERMSEQ_PUBLISHED_TTS	Term-seq	author_called_termseq_tts	NC_003888	NC_003888.3	400183	400182	400183	+	18.2891585910867	33319794	10.1038/s41597-020-00775-w	Figshare Dataset 2	author genomic position treated as 1-based; BED start=position-1
