end_id	source_record_id	source_end_id	author_tep_id	source_id	species	sample_id	assay	evidence_class	published_reference_accession	reference_name	biological_coordinate_1based	bed_start_0based	bed_end_0based	strand	category	associated_gene	pmid	doi	source_table	coordinate_interpretation
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_minus_13675_r000002	TEP-001	BATTER_S1_018_2021_TERMSEQ_CP054306_1_R_000001	TEP-001	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	13675	13674	13675	-	I	HTZ78_00090	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_plus_22917_r000003	TEP-002	BATTER_S1_018_2021_TERMSEQ_CP054306_1_F_000002	TEP-002	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	22917	22916	22917	+	P	HTZ78_00130	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_minus_24191_r000004	TEP-003	BATTER_S1_018_2021_TERMSEQ_CP054306_1_R_000003	TEP-003	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	24191	24190	24191	-	P	tRNA1-Ser	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_plus_26364_r000005	TEP-004	BATTER_S1_018_2021_TERMSEQ_CP054306_1_F_000004	TEP-004	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	26364	26363	26364	+	P	HTZ78_00150	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_minus_31282_r000006	TEP-005	BATTER_S1_018_2021_TERMSEQ_CP054306_1_R_000005	TEP-005	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	31282	31281	31282	-	P	HTZ78_00190	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_plus_36153_r000007	TEP-006	BATTER_S1_018_2021_TERMSEQ_CP054306_1_F_000006	TEP-006	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	36153	36152	36153	+	P	tRNA2-Thr	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_minus_50896_r000008	TEP-007	BATTER_S1_018_2021_TERMSEQ_CP054306_1_R_000007	TEP-007	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	50896	50895	50896	-	P	HTZ78_00280	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_plus_57209_r000009	TEP-008	BATTER_S1_018_2021_TERMSEQ_CP054306_1_F_000008	TEP-008	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	57209	57208	57209	+	P	tRNA3-Asp	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_plus_61545_r000010	TEP-009	BATTER_S1_018_2021_TERMSEQ_CP054306_1_F_000009	TEP-009	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	61545	61544	61545	+	S	HTZ78_00330	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_plus_61607_r000011	TEP-010	BATTER_S1_018_2021_TERMSEQ_CP054306_1_F_000010	TEP-010	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	61607	61606	61607	+	S	HTZ78_00330	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_plus_61767_r000012	TEP-011	BATTER_S1_018_2021_TERMSEQ_CP054306_1_F_000011	TEP-011	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	61767	61766	61767	+	P	HTZ78_00330	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_minus_65146_r000013	TEP-012	BATTER_S1_018_2021_TERMSEQ_CP054306_1_R_000012	TEP-012	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	65146	65145	65146	-	P	HTZ78_00365	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_plus_65176_r000014	TEP-013	BATTER_S1_018_2021_TERMSEQ_CP054306_1_F_000013	TEP-013	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	65176	65175	65176	+	P	HTZ78_00360	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_minus_69920_r000015	TEP-014	BATTER_S1_018_2021_TERMSEQ_CP054306_1_R_000014	TEP-014	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	69920	69919	69920	-	I	HTZ78_00380	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_plus_74364_r000016	TEP-015	BATTER_S1_018_2021_TERMSEQ_CP054306_1_F_000015	TEP-015	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	74364	74363	74364	+	A	HTZ78_00405	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_plus_78246_r000017	TEP-016	BATTER_S1_018_2021_TERMSEQ_CP054306_1_F_000016	TEP-016	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	78246	78245	78246	+	P	HTZ78_00415	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
BTED_BATTER_S1_018_BATTER_S1_018_PUBLISHED_TEP_CP054306-1_plus_78304_r000018	TEP-017	BATTER_S1_018_2021_TERMSEQ_CP054306_1_F_000017	TEP-017	BATTER_S1_018	Synechocystis sp. PCC 7338	BATTER_S1_018_PUBLISHED_TEP	Term-seq	author_called_termseq_tep	CP054306	CP054306.1	78304	78303	78304	+	S	HTZ78_00415	34054774	10.3389/fmicb.2021.667450	Supplementary Data S2	author Position treated as 1-based; BED start=Position-1
